COLETA,DATA,PONTO,DBO (mg/L),COP (mg/L),COD (mg/L),N-NH4 (mg/L),N-Org (mg/L),N-NO2 (mg/L),N-NO3 (mg/L),NT (mg/L),PT (mg/L),P-PO4 (mg/L),OD (mg/L),Cafeína,Estradiol,Etinilestradiol,Estrona
59,14/08/2017,IG5,36.0,,,18.75,1.96,0.00,0.02,20.73,1.49,0.65,1.6,25.55877593,<LD,0.270653535,<LD
4,27/07/2005,IG6,56.4,,6.53,5.53,4.39,0.33,1.20,11.46,0.13,,3.4,,,,
5,10/08/2005,IG6,37.0,,7.14,17.11,8.34,0.31,0.29,26.05,0.25,,2.6,,,,
6,14/09/2005,IG6,8.0,,4.88,0.66,0.60,0.83,0.49,2.58,0.05,,,,,,
7,05/10/2005,IG6,18.7,,8.24,0.73,0.11,0.89,0.32,2.05,0.04,,,,,,
8,19/10/2005,IG6,7.4,,5.71,1.56,1.21,0.77,0.25,3.78,0.07,,2.5,,,,
9,31/10/2005,IG6,12.2,,6.05,,,0.81,0.11,0.92,0.05,,4.2,,,,
10,14/11/2005,IG6,13.2,,3.85,2.64,1.04,0.90,0.50,5.08,0.13,,,,,,
11,15/12/2005,IG6,6.8,,5.82,3.18,0.52,0.97,0.53,5.19,0.34,,,,,,
12,14/03/2006,IG6,7.9,,9.14,4.69,2.26,0.09,0.65,7.69,0.27,,2.7,,,,
13,03/04/2006,IG6,10.4,,8.25,3.76,3.42,0.08,0.36,7.62,0.33,,,,,,
14,10/04/2006,IG6,6.8,,6.90,5.94,0.06,0.10,0.43,6.53,0.02,,3.0,,,,
15,26/04/2006,IG6,6.9,,7.17,5.16,0.54,0.13,0.69,6.52,0.56,,4.1,,,,
16,11/05/2006,IG6,,,,,,,,,,,,,,,
17,24/05/2006,IG6,9.4,,22.65,6.09,0.55,0.03,0.62,7.28,0.31,,1.2,,,,
18,07/06/2006,IG6,9.6,,9.12,5.66,1.01,0.06,0.08,6.81,0.96,,2.6,,,,
19,21/06/2006,IG6,5.5,,10.40,10.15,1.04,0.09,0.07,11.36,0.91,,2.6,,,,
20,19/07/2006,IG6,5.7,,30.35,8.23,1.21,0.06,,,0.63,,1.3,,,,
21,13/03/2008,IG6,3.1,,11.75,1.57,1.19,0.13,0.51,3.39,0.34,,7.8,,,,
22,16/04/2008,IG6,6.3,,7.18,3.11,0.92,0.12,,,0.26,,1.1,,,,
23,07/05/2008,IG6,3.0,,3.30,,,0.13,0.53,,0.12,,3.1,,,,
24,04/06/2008,IG6,2.0,,8.96,5.49,0.22,0.06,0.42,6.19,0.39,,2.1,,,,
25,20/08/2008,IG6,3.1,,8.88,5.60,2.24,0.07,,,0.25,,2.2,,,,
26,01/07/2009,IG6,31.4,,8.02,7.59,3.39,0.04,0.02,11.20,1.53,0.62,,,,,
